Question,Option1,Option2,Option3,Option4,CorrectOption,Explanation
"What is the atomic number of carbon?", "4", "6", "8", "12", "6", "The atomic number of an element represents the number of protons in the nucleus of an atom of that element."
"What is the chemical symbol for gold?", "Au", "Ag", "G", "Go", "Au", "The chemical symbol for gold is Au derived from the Latin word 'aurum'."
"What is the formula for water?", "H2O2", "HO2", "H2O", "H2O3", "H2O", "The formula for water is H2O indicating two hydrogen atoms bonded to one oxygen atom."
"What is the pH of a neutral solution?", "0", "7", "14", "1", "7", "The pH scale measures the acidity or alkalinity of a solution with 7 being neutral."
"What is the chemical symbol for iron?", "Fe", "I", "Ir", "In", "Fe", "The chemical symbol for iron is Fe derived from the Latin word 'ferrum'."
"What is the lightest element?", "Hydrogen", "Oxygen", "Carbon", "Helium", "Hydrogen", "Hydrogen is the lightest element with an atomic number of 1."
"What is the chemical formula for table salt?", "NaCl", "HCl", "KCl", "CaCl2", "NaCl", "The chemical formula for table salt sodium chloride is NaCl."
"What is the state of matter of carbon dioxide at room temperature?", "Solid", "Liquid", "Gas", "Plasma", "Gas", "Carbon dioxide exists as a gas at room temperature and pressure."
"What is the chemical formula for sulfuric acid?", "H2SO3", "H2SO4", "H2S", "HSO3", "H2SO4", "The chemical formula for sulfuric acid is H2SO4."
"What is the chemical symbol for silver?", "Ag", "Au", "Si", "Sr", "Ag", "The chemical symbol for silver is Ag derived from the Latin word 'argentum'."
"What is the atomic number of oxygen?", "6", "7", "8", "9", "8", "The atomic number of oxygen is 8 indicating it has 8 protons in its nucleus."
"What is the chemical formula for methane?", "CH4", "CO2", "NH3", "H2O", "CH4", "The chemical formula for methane is CH4 consisting of one carbon atom bonded to four hydrogen atoms."
"What is the chemical symbol for sodium?", "Na", "S", "So", "Sa", "Na", "The chemical symbol for sodium is Na derived from the Latin word 'natrium'."
"What is the chemical formula for carbon dioxide?", "CO", "CO2", "CO3", "C2O4", "CO2", "The chemical formula for carbon dioxide is CO2 consisting of one carbon atom bonded to two oxygen atoms."
"What is the most abundant element in the Earth's crust?", "Oxygen", "Silicon", "Aluminum", "Iron", "Oxygen", "Oxygen is the most abundant element in the Earth's crust making up about 46% of its mass."
"What is the chemical symbol for potassium?", "P", "K", "Pt", "Po", "K", "The chemical symbol for potassium is K derived from the Latin word 'kalium'."
"What is the atomic number of hydrogen?", "0", "1", "2", "3", "1", "The atomic number of hydrogen is 1 indicating it has one proton in its nucleus."
"What is the chemical formula for ammonia?", "NH3", "NH4", "NH2", "NH", "NH3", "The chemical formula for ammonia is NH3 consisting of one nitrogen atom bonded to three hydrogen atoms."
"What is the chemical symbol for carbon?", "Ca", "Co", "C", "Cr", "C", "The chemical symbol for carbon is C."
"What is the atomic number of sodium?", "10", "11", "12", "13", "11", "The atomic number of sodium is 11 indicating it has 11 protons in its nucleus."
"What is the chemical formula for hydrochloric acid?", "HCl", "H2SO4", "H2O", "H2CO3", "HCl", "The chemical formula for hydrochloric acid is HCl."
"What is the chemical symbol for helium?", "He", "H", "Ha", "Hea", "He", "The chemical symbol for helium is He."
"What is the atomic number of carbon?", "4", "5", "6", "7", "6", "The atomic number of carbon is 6 indicating it has 6 protons in its nucleus."
"What is the chemical formula for carbon monoxide?", "CO", "CO2", "C2O", "C3O", "CO", "The chemical formula for carbon monoxide is CO."
"What is the chemical symbol for nitrogen?", "N", "Ni", "Ne", "Na", "N", "The chemical symbol for nitrogen is N."
"What is the atomic number of iron?", "24", "25", "26", "27", "26", "The atomic number of iron is 26 indicating it has 26 protons in its nucleus."
"What is the chemical formula for sulfur dioxide?", "SO", "SO2", "SO3", "S2O", "SO2", "The chemical formula for sulfur dioxide is SO2."
"What is the chemical symbol for chlorine?", "Cl", "Cr", "Cl2", "Cn", "Cl", "The chemical symbol for chlorine is Cl."
"What is the atomic number of nitrogen?", "6", "7", "8", "9", "7", "The atomic number of nitrogen is 7 indicating it has 7 protons in its nucleus."
