Question,Option1,Option2,Option3,Option4,CorrectOption,Explanation,Topic
What is the capital of France?,Paris,Rome,Madrid,Berlin,Option 1,Paris is the capital city of France.,Geography
"Who wrote ""To Kill a Mockingbird""?",Harper Lee,J.K. Rowling,Ernest Hemingway,F. Scott Fitzgerald,Option 1,"Harper Lee authored ""To Kill a Mockingbird"".",Literature
Which planet is known as the Red Planet?,Mars,Jupiter,Saturn,Venus,Option 1,Mars is often referred to as the Red Planet.,Astronomy
What is the chemical symbol for water?,H2O,CO2,NaCl,O2,Option 1,H2O represents the chemical formula for water.,Chemistry
Who painted the Mona Lisa?,Leonardo da Vinci,Vincent van Gogh,Pablo Picasso,Michelangelo,Option 1,Leonardo da Vinci is the artist behind the Mona Lisa.,Art
What is the longest river in the world?,Nile,Amazon,Mississippi,Yangtze,Option 1,The Nile River is recognized as the longest river.,Geography
Which planet is closest to the Sun?,Mercury,Venus,Mars,Jupiter,Option 1,Mercury is the planet closest to the Sun.,Astronomy
Who is known as the father of computers?,Charles Babbage,Alan Turing,Bill Gates,Steve Jobs,Option 1,Charles Babbage is often regarded as the father of computers.,Technology
What is the currency of Japan?,Yen,Euro,Dollar,Yuan,Option 1,The currency of Japan is the Yen.,Economics
Which famous scientist developed the theory of relativity?,Albert Einstein,Isaac Newton,Galileo Galilei,Stephen Hawking,Option 1,Albert Einstein developed the theory of relativity.,Science
